Provincia,Distrito,Posto,Localidade,Povoado,Cod__Escola,NomeEsco_1,ZIP,Agua,TipoFonte,QualiAgua,Energia,TipoEnergi,Latrina,TotalLatri,Estado_de_Conservação3,Urinois,TotalUrino,UrinoisFun,Estado_de_Conservação4,CasaBanho,TotalCB,CBFunci,Longitude,Latitude
Inhambane,Homoíne,Homoíne-Sede,Golo,Golo,30871,Escola Secundária de 20 de Junho (ex - Golo),25 de Setembro ,Não,Nenhuma Fonte,Nenhuma,Sim,Rede Pública,Sim,6,Razoável,Sim,2,Sim,Razoável,Não,0,Nenhuma,35.19941667,-23.87844444
Inhambane,Homoíne,Pembe,Pembe,Pembe,30907,Escola Secundária 10º Congresso,25 de Setembro ,Não,Nenhuma Fonte,Nenhuma,Sim,Rede Pública,Sim,4,Bom,Sim,4,Sim,Bom,Não,0,Nenhuma,35.10863889,-23.83838889
Inhambane,Homoíne,Homoíne-Sede,Inhamussua,Inhamangua,30987,Escola Secundária Eduardo Mondlane - Inhamângua,25 de Setembro ,Não,Nenhuma Fonte,Nenhuma,Não,Nenhum,Sim,2,Bom,Sim,4,Sim,Bom,Não,0,Nenhuma,35.24361111,-23.90930556
Inhambane,Homoíne,Homoíne-Sede,Mubecua,Mubecua,30988,Escola Secundária 7 de Abril - Mubécua,25 de Setembro ,Não,Nenhuma Fonte,Nenhuma,Não,Nenhum,Sim,2,Razoável,Sim,2,Sim,Razoável,Não,0,Nenhuma,35.19186111,-23.84205556
Inhambane,Inharrime,Inharrime Sede,Nhanombe,Nhacondo,30225,Escola Secundária 4 de Outubro,ESG- 4 de Outubro,Sim,Furo com bomba,Potável,Sim,Rede Pública,Sim,8,Bom,Sim,8,Sim,Bom,Não,0,Nenhuma,35.02111111,-24.4625
Inhambane,Inharrime,Mocumbi,Mahalamba,Mocumbi,30878,Escola Secundária São Assis Mocumbí,ESG- 4 de Otubro,Sim,Furo com bomba,Potável,Sim,Rede Pública,Sim,3,Bom,Sim,3,Sim,Bom,Não,0,Nenhuma,34.97661111,-24.44675
Inhambane,Inharrime,Inharrime Sede,Dongane,Nhacoongo,30947,Escola Secundária Nhacoongo,Nhacoongo,Não,Nenhuma Fonte,Nenhuma,Não,Nenhum,Sim,4,Bom,Sim,6,Sim,Bom,Não,0,Nenhuma,35.08208333,-24.36247222
Inhambane,Inharrime,Inharrime Sede,Nhanombe,Sihane,30948,Escola Secundária de Sihane,ESG- 4 de Outubro,Sim,Furo com bomba,Potável,Sim,Rede Pública,Sim,5,Bom,Sim,2,Sim,Bom,Não,0,Nenhuma,35.20294444,-24.36997222
Inhambane,Inharrime,Inharrime Sede,Chacane,Chacane,31012,Escola Secundária Filipe Jacinto Nyusi de Chacane,ESG- 4 de Outubro,Sim,Furo com bomba,Potável,Sim,Rede Pública,Sim,4,Bom,Sim,4,Sim,Bom,Não,0,Nenhuma,35.12788889,-24.45069444
Inhambane,Jangamo,Jangamo,Ligogo,Ligogo sede,30915,Escola Secundária Lurdes Mutola ,Cumbana,Sim,Furo com bomba,Potável,Sim,Rede Pública,Sim,3,Bom,Sim,5,Sim,Bom,Não,0,Nenhuma,35.39208333,-24.23258333
